Player,height,weight,college,born,birth_city,birth_state
Curly Armstrong,180,77,Indiana University,1918,,
Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana
Leo Barnhorst,193,86,University of Notre Dame,1924,,
Ed Bartels,196,88,North Carolina State University,1925,,
Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky
Gene Berce,180,79,Marquette University,1926,,
Charlie Black,196,90,University of Kansas,1921,Arco,Idaho
Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania
Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey
Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana
Don Boven,193,95,Western Michigan University,1925,Kalamazoo,Michigan
Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York
Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma
Bob Brannum,196,97,Michigan State University,1925,,
Carl Braun,196,81,Colgate University,1927,Brooklyn,New York
Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana
Price Brookfield,193,83,West Texas A&M University,1920,Floydada,Texas
Bob Brown,193,92,Miami University,1923,Versailles,Ohio
Jim Browne,208,106,,1930,Midlothian,Illinois
Walt Budko,196,99,Columbia University,1925,Kearney,New Jersey
Jack Burmaster,190,86,University of Illinois at Urbana-Champaign,1926,,
Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey
Bill Calhoun,190,81,City College of San Francisco,1927,San Francisco,California
Don Carlson,183,77,University of Minnesota,1919,Minneapolis,Minnesota
Bob Carpenter,196,90,East Texas State University,1917,,
Jake Carter,193,88,East Texas State University,1924,,
Al Cervi*,180,77,,1917,Buffalo,New York
John Chaney,190,83,Louisiana State University,1920,,
Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana
Bill Closs,196,88,Rice University,1922,Edge,Texas
Paul Cloyd,188,81,University of Wisconsin,1920,,
Jack Coleman,201,88,University of Louisville,1924,Burgin,Kentucky
Bobby Cook,178,70,University of Wisconsin,1923,,
Ray Corley,183,81,Georgetown University,1928,,
Jack Cotton,201,90,University of Wyoming,1924,Miles City,Montana
Dillard Crocker,193,92,Western Michigan University,1925,Coffee County,Tennessee
Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania
Fran Curran,183,79,University of Notre Dame,1922,Sterling,Illinois
Jimmy Darden,185,77,University of Denver,1922,,
Bob Davies*,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania
Hook Dillon,190,81,University of North Carolina,1924,Savannah,Georgia
Earl Dodd,196,79,Truman State University,1924,,
Joe Dolhon,183,79,New York University,1927,,
Bob Doll,196,88,University of Colorado,1919,Steamboat Springs,Colorado
Harry Donovan,188,81,Muhlenberg College,1926,Union City,New Jersey
Andy Duncan,198,88,College of William & Mary,1922,,
Dike Eddleman,190,85,University of Illinois at Urbana-Champaign,1922,Centralia,Illinois
Gene Englund,196,92,University of Wisconsin,1917,Kenosha,Wisconsin
Bob Evans,188,79,Butler University,1925,Indianapolis,Indiana
Johnny Ezersky,190,79,University of Rhode Island,1922,New York,New York
Bob Feerick,190,86,Santa Clara University,1920,San Francisco,California
George Feigenbaum,185,83,University of Kentucky,1929,,
Arnie Ferrin,188,81,University of Utah,1925,Salt Lake City,Utah
Jerry Fleishman,188,86,New York University,1922,Brooklyn,New York
Joe Fulks*,196,86,Murray State University,1921,Birmingham,Kentucky
Bill Gabor,180,77,Syracuse University,1922,,
Elmer Gainer,198,88,DePaul University,1918,Chicago,Illinois
Harry Gallatin*,198,95,Truman State University,1927,Roxana,Illinois
Vern Gardner,196,90,University of Utah,1925,Afton,Wyoming
Frank Gates,183,72,Sam Houston State University,1920,,
Dee Gibson,180,79,Western Kentucky University,1923,,
Hoot Gibson,196,89,Creighton University,1921,,
Chuck Gilmur,193,102,University of Washington,1922,,
Normie Glick,201,86,Loyola Marymount University,1927,,
Paul Gordon,190,83,University of Notre Dame,1927,,
Joe Graboski,201,88,,1930,,
Bud Grant,190,88,University of Minnesota,1927,Superior,Wisconsin
Don Grate,188,83,Ohio State University,1923,Greenfield,Ohio
Alex Groza,201,98,University of Kentucky,1926,Martins Ferry,Ohio
Al Guokas,196,90,Saint Joseph's University,1925,,
Robert Hahn,208,108,North Carolina State University,1925,,
Chick Halbert,206,102,West Texas A&M University,1919,Albany,Texas
Bruce Hale,185,77,Santa Clara University,1918,Medford,Oregon
Dale Hamilton,183,81,Franklin College,1919,,
Alex Hannum*,201,95,University of Southern California,1923,Los Angeles,California
John Hargis,188,81,University of Texas at Austin,1920,Nacogdoches,Texas
Bob Harris,201,88,Oklahoma State University,1927,Linden,Tennessee
Bob Harrison,201,88,Oklahoma State University,1927,Linden,Tennessee
Billy Hassett,180,81,University of Notre Dame,1921,,
Marshall Hawkins,190,92,University of Tennessee,1924,Huntington,West Virginia
Bill Henry,206,97,Rice University,1924,Dallas,Texas
Bill Herman,190,77,Mount Union College,1924,,
Kleggie Hermsen,206,102,University of Minnesota,1923,Hill City,Minnesota
Sonny Hertzberg,178,79,City College of New York,1922,Brooklyn,New York
Paul Hoffman,188,88,Purdue University,1925,,
Joe Holland,193,83,University of Kentucky,1925,,
Red Holzman*,178,79,City College of New York,1920,Brooklyn,New York
Gene James,193,81,Marshall University,1925,Ironton,Ohio
Howie Janotta,190,83,Seton Hall University,1924,,
Tony Jaros,190,83,University of Minnesota,1920,Minneapolis,Minnesota
Buddy Jeannette*,180,79,Washington & Jefferson College,1917,New Kensington,Pennsylvania
Arnie Johnson,196,107,Bemidji State University,1920,Gonvick,Minnesota
Ralph Johnson,180,77,Huntington University,1921,,
Wah Wah,180,77,,1921,,
Noble Jorgensen,206,103,University of Iowa,1925,,
George Kaftan,190,86,College of the Holy Cross,1928,New York,New York
Leo Katkaveck,183,83,North Carolina State University,1923,,
Jack Kerris,198,97,Loyola University of Chicago,1925,,
Bob Kinney,198,97,Rice University,1920,Fort Scott,Kansas
Walt Kirk,190,78,University of Illinois at Urbana-Champaign,1924,Mount Vernon,Illinois
Leo Klier,188,77,University of Notre Dame,1923,Washington,Indiana
Duane Klueh,190,79,Indiana State University,1926,Bottineau,North Dakota
Lee Knorek,201,97,University of Detroit Mercy,1921,Warsaw,Poland
Milo Komenich,201,96,University of Wyoming,1920,,
Leo Kubiak,180,72,Bowling Green State University,1927,,
Frank Kudelka,188,87,Saint Mary's College of California,1925,,
Walt Lautenbach,188,83,University of Wisconsin,1922,,
Tony Lavelli,190,83,Yale University,1926,Somerville,Massachusetts
Ed Leede,190,83,Dartmouth College,1927,,
Andrew Levane,188,86,St. John's University,1920,Brooklyn,New York
Freddie Lewis,188,88,Eastern Kentucky University,1921,Brooklyn,New York
Ron Livingstone,208,99,University of Wyoming,1925,,
John Logan,188,79,Indiana University,1921,Richmond,Indiana
Ray Lumpp,185,80,New York University,1923,Brooklyn,New York
Ed Macauley*,203,83,Saint Louis University,1928,St. Louis,Missouri
Johnny Macknowski,183,81,Seton Hall University,1923,,
John Mahnken,203,99,Georgetown University,1922,New Jersey,New Jersey
John Mandic,193,92,Oregon State University,1919,Los Angeles,California
Slater Martin*,178,77,University of Texas at Austin,1925,El Mina,Texas
Ariel Maughan,193,86,Utah State University,1923,Salt Lake City,Utah
Matt Mazza,190,95,Michigan State University,1923,Niagara Falls,New York
Mike McCarron,180,81,Seton Hall University,1922,,
Dick McGuire*,183,81,St. John's University,1926,Huntington,New York
Bones McKinney,198,83,University of North Carolina,1919,Lowlands,North Carolina
Mal McMullen,196,95,Xavier University,1927,,
Dick Mehen,196,88,University of Tennessee,1922,,
Ken Menke,183,76,University of Illinois at Urbana-Champaign,1922,,
Stan Miasek,196,95,,1924,,
Ed Mikan,203,104,DePaul University,1925,,
George Mikan*,208,111,DePaul University,1924,Joliet,Illinois
Vern Mikkelsen*,201,104,Hamline University,1928,Fresno,California
Al Miksis,201,95,Western Illinois University,1928,,
Murray Mitchell,201,95,Sam Houston State University,1923,,
Leo Mogus,193,86,Youngstown State University,1921,Ohio,
Max Morris,188,88,Northwestern University,1925,,
Joe Mullaney,183,74,College of the Holy Cross,1925,Long Island,New York
Jerry Nagel,183,86,Loyola University of Chicago,1928,Chicago,Illinois
Jack Nichols,201,100,University of Washington,1926,,
Richie Niemiera,185,74,University of Notre Dame,1921,Chicago,Illinois
Paul Noel,193,83,University of Kentucky,1924,Midway,Kentucky
Jim Nolan,203,95,Georgia Institute of Technology,1927,Macon,Georgia
Johnny Norlander,190,81,Hamline University,1921,Virginia,Minnesota
George Nostrand,203,88,University of Wyoming,1924,Uniondale,New York
Mike Novak,206,99,Loyola University of Chicago,1915,Chicago,Illinois
Dermie O'Connell,183,78,College of the Holy Cross,1928,,
Andy O'Donnell,185,81,Loyola College in Maryland,1925,,
Dick O'Keefe,188,83,Santa Clara University,1923,San Francisco,California
John Oldham,190,79,Western Kentucky University,1923,Beaver Dam,Kentucky
Gene Ollrich,180,72,Drake University,1922,Whiting,Indiana
